Var;ALLSKY_KT_1;ALLSKY_KT_2;ALLSKY_KT_3;ALLSKY_SRF_ALB_1;ALLSKY_SRF_ALB_2;ALLSKY_SFC_LW_DWN_1;ALLSKY_SFC_LW_DWN_2;ALLSKY_SFC_LW_UP_1;ALLSKY_SFC_LW_UP_2;ALLSKY_SFC_PAR_TOT_1;ALLSKY_SFC_PAR_TOT_2;ALLSKY_SFC_SW_DWN_1;ALLSKY_SFC_SW_DWN_2;ALLSKY_SFC_SW_UP_1;ALLSKY_SFC_SW_UP_2;ALLSKY_SFC_UV_INDEX_1;ALLSKY_SFC_UV_INDEX_2;ALLSKY_SFC_UV_INDEX_3;ALLSKY_SFC_UV_INDEX_4;ALLSKY_SFC_UVA_1;ALLSKY_SFC_UVA_2;ALLSKY_SFC_UVB_1;ALLSKY_SFC_UVB_2;CLRSKY_DAYS_1;CLRSKY_DAYS_2;CLRSKY_DAYS_3;CLRSKY_SRF_ALB_1;CLRSKY_SRF_ALB_2;CLRSKY_SRF_ALB_3;CLRSKY_SRF_ALB_4;CLRSKY_SRF_ALB_5;CLRSKY_SRF_ALB_6;CLRSKY_SRF_ALB_7;CLRSKY_SFC_LW_DWN_1;CLRSKY_SFC_LW_DWN_2;CLRSKY_SFC_LW_UP_1;CLRSKY_SFC_LW_UP_2;CLRSKY_SFC_PAR_TOT_1;CLRSKY_SFC_PAR_TOT_2;CLRSKY_SFC_SW_DWN_1;CLRSKY_SFC_SW_DWN_2;CLRSKY_SFC_SW_UP_1;CLRSKY_SFC_SW_UP_2;CLOUD_AMT_1;CLOUD_AMT_2;CLOUD_AMT_3;CLOUD_AMT_DAY_1;CLOUD_AMT_DAY_2;CLOUD_AMT_NIGHT_1;CLOUD_AMT_NIGHT_2;CLOUD_AMT_NIGHT_3;PW_1;PW_2;TS_1;TS_2;U2M_1;U2M_2;U2M_3;EVLAND_1;EVLAND_2;EVLAND_3;EVPTRNS_1;EVPTRNS_2;EVPTRNS_3;V2M_1;V2M_2;V2M_3;GWETPROF_1;GWETPROF_2;RH2M_1;RH2M_2;GWETROOT_1;GWETROOT_2;QV2M_1;QV2M_2;RHOA_1;PS_1;Z0M_1;GWETTOP_1;GWETTOP_2;T2M_1;T2M_2;WD2M_1;WD2M_2;WD2M_3;WD2M_4;WD2M_5;WD2M_6;WS2M_1
ALLSKY_SFC_LW_DWN6;0;0;0;0;0;0.604722276568178;0.782627733732643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN7;0;0;0;0;0;0.715154537639676;0.677717362704577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN8;0;0;0;0;0;0.937732564826628;0.287463463827187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN9;0;0;0;0;0;0.972289031067276;-0.132987283295573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_UP0;0;0;0;0;0;0;0;0.871929551033792;-0.475914754777776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_UP1;0;0;0;0;0;0;0;0.909169779795703;-0.401104920033208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_UP10;0;0;0;0;0;0;0;0.925999522468371;-0.350723879287881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_UP11;0;0;0;0;0;0;0;0.885078978066321;-0.449659086430865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_UP2;0;0;0;0;0;0;0;0.951164030067288;-0.270418157509902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_UP3;0;0;0;0;0;0;0;0.969138623250017;-0.0359672243297212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
